51,ALTO ARAGUAIA,36562.21,0.704
42,ALTO BELA VISTA,16012.71,0.755
51,ALTO BOA VISTA,7745.1,0.651
24,ALTO DO RODRIGUES,24178.66,0.672
43,ALTO FELIZ,12393.23,0.734
51,ALTO GARÇAS,26028.62,0.701
52,ALTO HORIZONTE,176061.5,0.719
22,ALTO LONGÁ,3364.4,0.585
51,ALTO PARAGUAI,5611.54,0.638
11,ALTO PARAÍSO,8871.4,0.625
41,ALTO PARAÍSO,11463.19,0.678
52,ALTO PARAÍSO DE GOIÁS,9392.88,0.713
41,ALTO PARANÁ,10145.37,0.696
21,ALTO PARNAÍBA,12147.81,0.633
41,ALTO PIQUIRI,11514.58,0.676
32,ALTO RIO NOVO,6896.74,0.664
23,ALTO SANTO,4932.83,0.601
51,ALTO TAQUARI,48532.18,0.705
41,ALTÔNIA,7691.12,0.721
22,ALTOS,4109.73,0.614
35,ALUMÍNIO,94472.19,0.766
13,ALVARÃES,4144.14,0.527
35,ÁLVARES FLORENCE,23449.21,0.728
35,ÁLVARES MACHADO,10232.04,0.758
35,ÁLVARO DE CARVALHO,6439.55,0.688
35,ALVINLÂNDIA,10346.44,0.722
17,ALVORADA,17157.47,0.708
43,ALVORADA,6960.29,0.699
11,ALVORADA DOESTE,9517.48,0.643
22,ALVORADA DO GURGUÉIA,4594.75,0.578
52,ALVORADA DO NORTE,9055.69,0.66
41,ALVORADA DO SUL,11063.69,0.708
14,AMAJARI,8248.96,0.484
50,AMAMBAI,11568.56,0.673
16,AMAPÁ,9672.52,0.642
21,AMAPÁ DO MARANHÃO,3407.56,0.52
41,AMAPORÃ,8791.13,0.669
26,AMARAJI,5597.25,0.58
43,AMARAL FERRADOR,7939.52,0.624
52,AMARALINA,9643.44,0.609
22,AMARANTE,3981.47,0.598
21,AMARANTE DO MARANHÃO,3415.73,0.555
29,AMARGOSA,5293.53,0.625
13,AMATURÁ,3815.53,0.56
29,AMÉLIA RODRIGUES,5930.47,0.666
29,AMÉRICA DOURADA,3708.61,0.561
